,price,price_open,price_high,price_low,change
244,936.32,936.32,936.32,936.32,936.32
245,906.40,906.40,906.40,906.40,906.40
246,897.99,897.99,897.99,897.99,897.99
247,895.24,895.24,895.24,895.24,895.24
248,918.99,918.99,918.99,918.99,918.99
249,859.20,859.20,859.20,859.20,859.20
250,829.99,829.99,829.99,829.99,829.99
251,797.99,797.99,797.99,797.99,797.99
252,790.59,790.59,790.59,790.59,790.59
253,790.21,790.21,790.21,790.21,790.21
254,790.99,790.99,790.99,790.99,790.99
255,784.17,784.17,784.17,784.17,784.17
256,777.43,777.43,777.43,777.43,777.43
257,774.49,774.49,774.49,774.49,774.49
258,775.00,775.00,775.00,775.00,775.00
259,777.99,777.99,777.99,777.99,777.99
260,770.21,770.21,770.21,770.21,770.21
261,772.90,772.90,772.90,772.90,772.90
262,770.50,770.50,770.50,770.50,770.50
263,765.01,765.01,765.01,765.01,765.01
264,765.01,765.01,765.01,765.01,765.01
265,757.36,757.36,757.36,757.36,757.36
266,750.62,750.62,750.62,750.62,750.62
267,768.50,768.50,768.50,768.50,768.50
268,765.27,765.27,765.27,765.27,765.27
269,774.91,774.91,774.91,774.91,774.91
270,755.36,755.36,755.36,755.36,755.36
271,739.00,739.00,739.00,739.00,739.00
272,731.05,731.05,731.05,731.05,731.05
273,731.52,731.52,731.52,731.52,731.52
274,724.99,724.99,724.99,724.99,724.99
275,731.19,731.19,731.19,731.19,731.19
276,740.36,740.36,740.36,740.36,740.36
277,737.68,737.68,737.68,737.68,737.68
278,741.99,741.99,741.99,741.99,741.99
279,750.05,750.05,750.05,750.05,750.05
280,738.99,738.99,738.99,738.99,738.99
281,729.67,729.67,729.67,729.67,729.67
282,752.90,752.90,752.90,752.90,752.90
283,753.97,753.97,753.97,753.97,753.97
284,740.67,740.67,740.67,740.67,740.67
285,744.99,744.99,744.99,744.99,744.99
286,712.17,712.17,712.17,712.17,712.17
287,707.43,707.43,707.43,707.43,707.43
288,704.09,704.09,704.09,704.09,704.09
289,702.55,702.55,702.55,702.55,702.55
290,714.51,714.51,714.51,714.51,714.51
291,693.47,693.47,693.47,693.47,693.47
292,688.67,688.67,688.67,688.67,688.67
293,678.70,678.70,678.70,678.70,678.70
294,659.52,659.52,659.52,659.52,659.52
295,654.65,654.65,654.65,654.65,654.65
296,659.03,659.03,659.03,659.03,659.03
297,664.99,664.99,664.99,664.99,664.99
298,636.73,636.73,636.73,636.73,636.73
299,632.46,632.46,632.46,632.46,632.46
